schoolid,suburb,schoolname,region,address,longitude,latitude
522,GLENROY,Box Forest Secondary College,,"120 Glenroy Rd, Glenroy VIC 3046",144.9249,-37.7057
523,BORONIA,Boronia K-12 College,,"35-37 Albert Ave, Boronia VIC 3155",145.294,-37.8594
524,BOORT,Boort District P-12 School,,"1 Malone St, Boort VIC 3537",143.7252,-36.1102
525,BLACKBURN,Blackburn High School,,"58-62 Springfield Rd, Blackburn VIC 3130",145.1499,-37.8103
526,BIRCHIP,Birchip P-12 School,,Birchip VIC 3483,142.9146,-35.9833
527,MOOROOLBARK,Billanook College,,"197-199 Cardigan Rd, Mooroolbark VIC 3138",145.3381,-37.7857
528,HAWTHORN EAST,Bialik College,,"429 Auburn Rd, Hawthorn East VIC 3123",145.0418,-37.8413
529,ST KILDA EAST,Beth Rivkah Ladies College,,"1 Empress Rd, St Kilda East VIC 3183",145.0013,-37.8687
530,BERWICK,Berwick Secondary College,,"Manuka Rd, Berwick VIC 3806",145.3654,-38.0331
531,OFFICER,Berwick Grammar School,,"80 Tivendale Rd, Officer VIC 3809",145.4118,-38.0529
532,BENTLEIGH EAST,Bentleigh Secondary College,,"4 Vivien St, Bentleigh East VIC 3165",145.0594,-37.9275
533,BENDIGO,Bendigo Senior Secondary College,,"Gaol Rd, Bendigo VIC 3550",144.2783,-36.7551
534,BENDIGO,Bendigo Regional Institute of TAFE,,"23 Mundy St, Bendigo VIC 3550",144.2835,-36.758
535,BENALLA,Benalla P-12 College,,"44 Clarke St, Benalla VIC 3672",145.968,-36.5538
536,BELMONT,Belmont High School,,"Rotherham St, Belmont VIC 3216",144.3308,-38.1754
537,DRYSDALE,Bellarine Secondary College,,"Peninsula Dr, Drysdale VIC 3222",144.5556,-38.189
538,BELGRAVE HEIGHTS,Belgrave Heights Christian School,,"Wattle Valley Rd, Belgrave Heights VIC 3160",145.3451,-37.9199
539,BEECHWORTH,Beechworth Secondary College,,"85 Balaclava Rd, Beechworth VIC 3747",146.6906,-36.3468
